gh_id,full_name,html_url,primary_language,languages,subscribers_count,stargazers_count,forks_count,created_at,updated_at,pushed_at,size
46360063,MinimalOS-AOSP/platform_external_libpng,https://github.com/MinimalOS-AOSP/platform_external_libpng,C,"{""C"": 2524107, ""Awk"": 42973, ""CMake"": 13079, ""Groff"": 283124, ""Shell"": 365722, ""Assembly"": 8153, ""Makefile"": 25022, ""Batchfile"": 3582, ""DIGITAL Command Language"": 10718, ""Module Management System"": 2074}",3,1,0,2015-11-17T16:30:14Z,2016-01-26T12:20:37Z,2016-01-24T10:44:43Z,3853
5108051,Itseez/opencv,https://github.com/Itseez/opencv,C++,"{""C"": 843950, ""C++"": 23782756, ""TeX"": 1320, ""Cuda"": 1681978, ""Java"": 682523, ""Perl"": 15867, ""CMake"": 627139, ""Shell"": 7722, ""Python"": 418931, ""Makefile"": 414, ""Batchfile"": 4597, ""PowerShell"": 14522, ""Objective-C"": 8501, ""Objective-C++"": 170565}",1304,11946,9691,2012-07-19T09:40:17Z,2016-11-08T20:18:52Z,2016-11-08T19:08:01Z,1087869
7634677,openssl/openssl,https://github.com/openssl/openssl,C,"{""C"": 11837464, ""M4"": 46725, ""eC"": 2943, ""C++"": 211170, ""Perl"": 4708868, ""Shell"": 264927, ""Prolog"": 12764, ""Python"": 1357, ""Assembly"": 312460, ""Objective-C"": 672, ""DIGITAL Command Language"": 3307}",519,3526,1969,2013-01-15T22:34:48Z,2016-11-08T15:42:02Z,2016-11-08T20:59:02Z,124944
3768025,glennrp/libpng,https://github.com/glennrp/libpng,C++,"{""C++"": 10000}",18,108,78,2012-03-19T20:01:17Z,2016-11-04T15:37:14Z,2016-11-02T22:39:22Z,39111
5373551,libgdx/libgdx,https://github.com/libgdx/libgdx,C++,"{""C++"": 10000}",1148,10044,4906,2012-08-10T19:34:38Z,2016-11-08T21:02:42Z,2016-11-08T21:01:07Z,1058425
1093228,cocos2d/cocos2d-x,https://github.com/cocos2d/cocos2d-x,C++,"{""C++"": 10000}",1286,9089,5800,2010-11-18T23:17:00Z,2016-11-08T16:37:45Z,2016-11-08T17:07:33Z,1536235
65856,android/platform_external_jpeg,https://github.com/android/platform_external_jpeg,C++,"{""C++"": 10000}",4,15,34,2008-10-21T18:20:15Z,2016-06-27T19:50:23Z,2016-11-07T22:03:57Z,1384
65884,android/platform_external_zlib,https://github.com/android/platform_external_zlib,C++,"{""C++"": 10000}",5,15,45,2008-10-21T18:20:37Z,2016-08-24T19:36:25Z,2016-11-08T00:22:57Z,1816
65850,android/platform_external_giflib,https://github.com/android/platform_external_giflib,C++,"{""C++"": 10000}",4,16,22,2008-10-21T18:20:10Z,2016-09-02T03:37:43Z,2016-11-08T00:23:56Z,927
65859,android/platform_external_libpng,https://github.com/android/platform_external_libpng,C++,"{""C++"": 10000}",6,14,39,2008-10-21T18:20:17Z,2016-11-01T04:04:23Z,2016-11-07T23:06:58Z,3809
65865,android/platform_external_openssl,https://github.com/android/platform_external_openssl,C++,"{""C++"": 10000}",14,51,82,2008-10-21T18:20:21Z,2016-09-21T10:22:10Z,2016-11-02T18:29:43Z,16801
12701793,mozilla-b2g/platform_frameworks_av,https://github.com/mozilla-b2g/platform_frameworks_av,C++,"{""C++"": 10000}",115,0,21,2013-09-09T13:13:42Z,2014-12-22T17:39:01Z,2015-12-23T20:05:19Z,36492
4970164,CyanogenMod/android_frameworks_av,https://github.com/CyanogenMod/android_frameworks_av,C++,"{""C++"": 10000}",53,82,857,2012-07-10T06:40:34Z,2016-10-27T11:08:15Z,2016-11-08T19:16:58Z,75313
